,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.54105051804589,21.0
1,SNX-USD,ENJ-USD,7.0976070330941115,4.0
2,SNX-USD,ZRX-USD,10.575741318497286,13.0
3,SNX-USD,COMP-USD,0.06617163103124449,8.0
4,SNX-USD,NEAR-USD,1.4822255001838478,7.0
5,SNX-USD,ADA-USD,6.448444039472227,18.0
6,SNX-USD,SOL-USD,0.1134350913933477,20.0
7,XTZ-USD,ETC-USD,0.04943672707410529,18.0
8,XTZ-USD,ZEC-USD,0.02878098404294214,18.0
9,XTZ-USD,LINK-USD,0.1399483119613437,8.0
10,XTZ-USD,ENJ-USD,2.790972499438683,20.0
11,XTZ-USD,ZRX-USD,4.160449622141779,10.0
12,XTZ-USD,COMP-USD,0.0260210120836662,23.0
13,XTZ-USD,UMA-USD,0.47340289124743773,15.0
14,ICP-USD,YFI-USD,0.0007122210883902656,23.0
15,ICP-USD,UNI-USD,0.9186057277695374,20.0
16,ETC-USD,LINK-USD,2.83017521744954,15.0
17,ETC-USD,ZRX-USD,84.12384901725471,24.0
18,ETC-USD,DOGE-USD,248.5927440208571,10.0
19,ETC-USD,LTC-USD,0.1938334107309823,15.0
20,ZEC-USD,COMP-USD,0.9041445805758367,7.0
21,ZEC-USD,NEAR-USD,20.247047912638077,19.0
22,ZEC-USD,UMA-USD,16.446035687926948,9.0
23,BCH-USD,TRX-USD,1450.610020698603,20.0
24,ENJ-USD,COMP-USD,0.00932253960014636,8.0
25,ENJ-USD,NEAR-USD,0.20881768334578255,9.0
26,ENJ-USD,UMA-USD,0.16956527317292164,12.0
27,ENJ-USD,SOL-USD,0.015980344057010373,24.0
28,ZRX-USD,COMP-USD,0.0062545274257296245,17.0
29,ZRX-USD,NEAR-USD,0.14007512862128013,22.0
30,ZRX-USD,UMA-USD,0.11378605655380152,9.0
31,ZRX-USD,LTC-USD,0.0023028851546052385,17.0
32,XLM-USD,ETH-USD,4.78955690928259e-05,19.0
33,NEAR-USD,UMA-USD,0.8119171336689787,12.0
34,NEAR-USD,SOL-USD,0.07652958093735354,22.0
35,XMR-USD,BTC-USD,0.0053976805509202514,10.0
36,XMR-USD,ETH-USD,0.07859249970498676,9.0
37,ADA-USD,MATIC-USD,0.42199845156636717,15.0
38,UMA-USD,SOL-USD,0.09417863964275798,24.0
39,UMA-USD,LTC-USD,0.0202307868337664,19.0
40,DOT-USD,AAVE-USD,0.08426228549981939,19.0
41,DOGE-USD,LTC-USD,0.0007795375124786537,21.0
